Date,ETH_Price
2025-04-16,1577.14
2025-04-16,1577.14
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-12,1644.18
2025-04-11,1566.85
2025-04-10,1522.25
2025-04-08,1473.41
2025-04-08,1473.41
2025-04-07,1553.04
2025-04-07,1553.04
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-01,1904.98
2025-04-01,1904.98
2025-03-31,1822.43
2025-03-31,1822.43
2025-03-31,1822.43
2025-03-27,2003.66
2025-03-27,2003.66
2025-03-27,2003.66
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-23,2005.99
2025-03-23,2005.99
2025-03-22,1980.69
2025-03-21,1965.75
2025-03-21,1965.75
2025-03-21,1965.75
2025-03-20,1983.79
2025-03-18,1931.54
2025-03-17,1926.31
2025-03-16,1887.0
2025-03-14,1911.65
2025-03-13,1864.59
2025-03-11,1923.43
2025-03-10,1865.1
2025-03-10,1865.1
2025-03-07,2141.6
2025-03-05,2241.59
2025-03-05,2241.59
2025-03-04,2171.51
2025-03-03,2149.01
2025-03-03,2149.01
2025-03-02,2518.11
2025-03-02,2518.11
2025-03-02,2518.11
2025-03-02,2518.11
2025-03-01,2217.39
2025-03-01,2217.39
2025-02-24,2513.52
2025-02-24,2513.52
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-18,1588.6
2025-04-17,1583.62
2025-04-16,1577.14
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-13,1597.76
2025-04-12,1644.18
2025-04-11,1566.85
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-08,1473.41
2025-04-08,1473.41
2025-04-07,1553.04
2025-04-07,1553.04
2025-04-06,1580.76
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-01,1904.98
2025-04-01,1904.98
2025-03-31,1822.43
2025-03-31,1822.43
2025-03-28,1896.9
2025-03-27,2003.66
2025-03-27,2003.66
2025-03-27,2003.66
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-26,2009.52
2025-03-25,2066.15
2025-03-25,2066.15
2025-03-24,2081.2
2025-03-23,2005.99
2025-03-23,2005.99
2025-03-22,1980.69
2025-03-21,1965.75
2025-03-21,1965.75
2025-03-21,1965.75
2025-03-20,1983.79
2025-03-20,1983.79
2025-03-18,1931.54
2025-03-18,1931.54
2025-03-17,1926.31
2025-03-16,1887.0
2025-03-16,1887.0
2025-04-16,1577.14
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-08,1473.41
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-03,1817.23
2025-03-27,2003.66
2025-03-26,2009.52
2025-03-25,2066.15
2025-03-18,1931.54
2025-03-18,1931.54
2025-03-16,1887.0
2025-03-13,1864.59
2025-03-09,2020.41
2025-03-07,2141.6
2025-03-03,2149.01
2025-03-02,2518.11
2025-03-02,2518.11
2025-03-02,2518.11
2025-02-27,2307.72
2025-02-17,2744.05
2025-02-14,2725.95
2025-02-14,2725.95
2025-02-10,2661.19
2025-02-09,2627.18
2025-02-06,2686.64
2025-01-28,3077.72
2025-01-23,3338.21
2025-01-23,3338.21
2025-01-23,3338.21
2025-01-21,3327.54
2025-01-21,3327.54
2025-01-20,3284.0
2025-01-19,3215.12
2025-01-17,3473.63
2025-01-17,3473.63
2025-01-15,3451.52
2025-01-13,3137.51
2025-01-06,3687.45
2025-01-06,3687.45
2024-12-31,3337.78
2024-12-25,3497.0
2024-12-24,3493.18
2024-12-20,3472.21
2024-12-13,3906.8
2024-12-13,3906.8
2024-12-13,3906.8
2024-12-13,3906.8
2024-12-12,3881.61
2024-12-09,3712.0
2024-12-06,3998.87
2024-12-05,3785.2
2024-11-29,3592.21
2024-11-28,3578.79
2024-11-26,3324.73
2024-11-25,3414.49
2024-11-24,3361.2
2024-11-24,3361.2
2024-11-23,3393.91
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-18,1588.6
2025-04-18,1588.6
2025-04-17,1583.62
2025-04-17,1583.62
2025-04-16,1577.14
2025-04-16,1577.14
2025-04-16,1577.14
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-13,1597.76
2025-04-12,1644.18
2025-04-11,1566.85
2025-04-11,1566.85
2025-04-10,1522.25
2025-04-10,1522.25
2025-04-10,1522.25
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-08,1473.41
2025-04-08,1473.41
2025-04-08,1473.41
2025-04-07,1553.04
2025-04-07,1553.04
2025-04-06,1580.76
2025-04-06,1580.76
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-01,1904.98
2025-04-01,1904.98
2025-04-01,1904.98
2025-04-01,1904.98
2025-03-31,1822.43
2025-03-31,1822.43
2025-03-31,1822.43
2025-03-30,1807.74
2025-03-29,1828.08
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-19,1613.27
2025-04-18,1588.6
2025-04-17,1583.62
2025-04-16,1577.14
2025-04-16,1577.14
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-14,1623.77
2025-04-13,1597.76
2025-04-12,1644.18
2025-04-11,1566.85
2025-04-11,1566.85
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-09,1669.51
2025-04-08,1473.41
2025-04-08,1473.41
2025-04-07,1553.04
2025-04-06,1580.76
2025-04-06,1580.76
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-04,1816.87
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-03,1817.23
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-02,1795.22
2025-04-01,1904.98
2025-04-01,1904.98
2025-03-31,1822.43
2025-03-30,1807.74
2025-03-28,1896.9
2025-03-25,2066.15
2025-03-24,2081.2
2025-03-23,2005.99
2025-03-22,1980.69
2025-03-21,1965.75
2025-03-19,2056.06
2025-03-19,2056.06
2025-03-17,1926.31
2025-03-16,1887.0
2025-03-16,1887.0
2025-03-16,1887.0
2025-03-13,1864.59
2025-03-11,1923.43
2025-03-07,2141.6
2025-03-05,2241.59
