Date,XRP_Price
1/8/2024,0.5776
1/12/2024,0.5699
1/12/2024,0.5699
1/12/2024,0.5699
2/6/2024,0.505
2/6/2024,0.505
2/8/2024,0.5147
2/11/2024,0.5261
2/12/2024,0.5315
2/12/2024,0.5315
2/12/2024,0.5315
2/12/2024,0.5315
3/10/2024,0.608
3/12/2024,0.688
4/8/2024,0.6147
4/9/2024,0.6141
4/10/2024,0.6172
4/12/2024,0.5468
4/12/2024,0.5468
5/7/2024,0.5245
5/8/2024,0.5171
5/9/2024,0.5209
6/9/2024,0.4986
6/19/2024,0.4933
6/21/2024,0.4889
6/21/2024,0.4889
7/5/2024,0.4251
7/11/2024,0.4491
7/26/2024,0.6034
7/26/2024,0.6034
8/1/2024,0.5964
8/2/2024,0.5607
8/4/2024,0.5228
8/5/2024,0.4889
8/9/2024,0.5805
8/29/2024,0.5619
8/29/2024,0.5619
9/4/2024,0.5579
9/5/2024,0.5444
9/6/2024,0.5211
9/8/2024,0.5295
9/13/2024,0.5728
9/13/2024,0.5728
9/14/2024,0.5956
9/14/2024,0.5956
9/16/2024,0.5866
9/16/2024,0.5866
9/27/2024,0.5888
9/27/2024,0.5888
10/3/2024,0.5217
10/4/2024,0.534
10/5/2024,0.5294
10/14/2024,0.5483
10/14/2024,0.5483
11/2/2024,0.5103
11/7/2024,0.5556
11/12/2024,0.704
11/12/2024,0.704
11/17/2024,1.0543
11/17/2024,1.0543
11/25/2024,1.4142
11/25/2024,1.4142
11/30/2024,1.9513
11/30/2024,1.9513
11/30/2024,1.9513
12/3/2024,2.5102
12/4/2024,2.3574
12/4/2024,2.3574
12/11/2024,2.3941
12/11/2024,2.3941
12/12/2024,2.3384
12/12/2024,2.3384
12/12/2024,2.3384
12/12/2024,2.3384
12/14/2024,2.4005
12/14/2024,2.4005
12/14/2024,2.4005
12/14/2024,2.4005
12/17/2024,2.5673
12/17/2024,2.5673
12/22/2024,2.2031
12/22/2024,2.2031
12/28/2024,2.1843
12/28/2024,2.1843
12/28/2024,2.1843
12/28/2024,2.1843
1/1/2025,2.3328
1/1/2025,2.3328
1/4/2025,2.4201
1/4/2025,2.4201
1/4/2025,2.4201
1/4/2025,2.4201
1/5/2025,2.3994
1/8/2025,2.3731
1/8/2025,2.3731
1/8/2025,2.3731
1/9/2025,2.2722
1/9/2025,2.2722
1/9/2025,2.2722
1/10/2025,2.3414
1/11/2025,2.5764
1/13/2025,2.5232
1/13/2025,2.5232
1/13/2025,2.5232
1/13/2025,2.5232
1/14/2025,2.6673
1/14/2025,2.6673
1/14/2025,2.6673
1/14/2025,2.6673
1/15/2025,3.1429
1/15/2025,3.1429
1/15/2025,3.1429
1/15/2025,3.1429
1/16/2025,3.2451
1/16/2025,3.2451
1/16/2025,3.2451
1/16/2025,3.2451
1/19/2025,2.9587
1/19/2025,2.9587
1/19/2025,2.9587
1/19/2025,2.9587
1/21/2025,3.1738
1/21/2025,3.1738
1/22/2025,3.1803
1/22/2025,3.1803
1/27/2025,3.0552
1/28/2025,3.0572
1/28/2025,3.0572
1/28/2025,3.0572
1/29/2025,3.0683
1/29/2025,3.0683
1/29/2025,3.0683
1/29/2025,3.0683
1/31/2025,3.0361
1/31/2025,3.0361
1/31/2025,3.0361
1/31/2025,3.0361
1/31/2025,3.0361
2/2/2025,2.58
2/2/2025,2.58
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/3/2025,2.7001
2/4/2025,2.5274
2/4/2025,2.5274
2/4/2025,2.5274
2/4/2025,2.5274
2/9/2025,2.3928
2/11/2025,2.4131
2/11/2025,2.4131
2/11/2025,2.4131
2/13/2025,2.5599
2/13/2025,2.5599
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/14/2025,2.7384
2/15/2025,2.7619
2/15/2025,2.7619
2/15/2025,2.7619
2/15/2025,2.7619
2/15/2025,2.7619
2/15/2025,2.7619
2/17/2025,2.6599
2/17/2025,2.6599
2/17/2025,2.6599
2/17/2025,2.6599
2/17/2025,2.6599
2/17/2025,2.6599
2/17/2025,2.6599
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/18/2025,2.5628
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/19/2025,2.7378
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/20/2025,2.6877
2/21/2025,2.5721
2/21/2025,2.5721
2/21/2025,2.5721
2/21/2025,2.5721
2/21/2025,2.5721
2/21/2025,2.5721
2/21/2025,2.5721
2/23/2025,2.5763
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/26/2025,2.1982
2/27/2025,2.1985
2/28/2025,2.1453
2/28/2025,2.1453
2/28/2025,2.1453
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/2/2025,2.9396
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/3/2025,2.3873
3/4/2025,2.4543
3/4/2025,2.4543
3/5/2025,2.4998
3/5/2025,2.4998
3/5/2025,2.4998
3/5/2025,2.4998
3/5/2025,2.4998
3/9/2025,2.1387
3/9/2025,2.1387
3/12/2025,2.2396
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/13/2025,2.2527
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/14/2025,2.3564
3/16/2025,2.2938
3/16/2025,2.2938
3/16/2025,2.2938
3/16/2025,2.2938
3/16/2025,2.2938
3/16/2025,2.2938
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/18/2025,2.2851
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/19/2025,2.5469
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/20/2025,2.4361
3/23/2025,2.4393
3/23/2025,2.4393
3/23/2025,2.4393
3/23/2025,2.4393
3/23/2025,2.4393
3/23/2025,2.4393
3/24/2025,2.4501
3/24/2025,2.4501
3/24/2025,2.4501
3/24/2025,2.4501
3/25/2025,2.4492
3/25/2025,2.4492
3/25/2025,2.4492
3/25/2025,2.4492
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/26/2025,2.3494
3/31/2025,2.0899
3/31/2025,2.0899
3/31/2025,2.0899
3/31/2025,2.0899
4/1/2025,2.1387
4/1/2025,2.1387
4/1/2025,2.1387
4/1/2025,2.1387
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/2/2025,2.0237
4/3/2025,2.0648
4/3/2025,2.0648
4/3/2025,2.0648
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/4/2025,2.1302
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/10/2025,1.9658
4/10/2025,1.9658
4/12/2025,2.1598
4/13/2025,2.1196
4/13/2025,2.1196
4/17/2025,2.0673
4/17/2025,2.0673
4/19/2025,2.0877
4/19/2025,2.0877
4/22/2025,2.2139
4/22/2025,2.2139
4/22/2025,2.2139
4/22/2025,2.2139
4/24/2025,2.2049
4/24/2025,2.2049
4/24/2025,2.2049
4/26/2025,2.1912
4/26/2025,2.1912
4/26/2025,2.1912
4/26/2025,2.1912
4/27/2025,2.252
4/29/2025,2.238
4/29/2025,2.238
4/29/2025,2.238
4/29/2025,2.238
4/30/2025,2.1908
4/30/2025,2.1908
4/30/2025,2.1908
5/1/2025,2.2123
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/2/2025,2.2093
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/3/2025,2.1872
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/4/2025,2.156
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/6/2025,2.155
5/7/2025,2.1265
5/7/2025,2.1265
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/8/2025,2.3272
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/9/2025,2.3439
5/10/2025,2.4711
5/10/2025,2.4711
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/11/2025,2.367
5/12/2025,2.5439
5/12/2025,2.5439
5/12/2025,2.5439
5/12/2025,2.5439
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/13/2025,2.5829
5/14/2025,2.5503
5/14/2025,2.5503
5/14/2025,2.5503
5/14/2025,2.5503
5/15/2025,2.3856
5/15/2025,2.3856
5/15/2025,2.3856
2/7/2025,2.3968
1/8/2025,2.3731
1/8/2025,2.3731
1/8/2025,2.3731
2/8/2025,2.419
2/8/2025,2.419
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
4/8/2025,1.7963
1/9/2025,2.2722
1/9/2025,2.2722
1/9/2025,2.2722
2/9/2025,2.3928
2/9/2025,2.3928
3/9/2025,2.1387
3/9/2025,2.1387
3/9/2025,2.1387
1/10/2025,2.3414
4/10/2025,1.9658
4/10/2025,1.9658
1/11/2025,2.5764
2/11/2025,2.4131
2/11/2025,2.4131
2/11/2025,2.4131
2/11/2025,2.4131
2/11/2025,2.4131
2/12/2025,2.4734
2/12/2025,2.4734
3/12/2025,2.2396
3/12/2025,2.2396
4/12/2025,2.1598
